product_name,product_image,product_rating,no_of_review,min_price,max_price,price,currency
"Amazon Basics Ergonomic Gaming Chair with Bluetooth Speakers and Built-in Mic, Push-Button Height Control - Grey",https://m.media-amazon.com/images/I/71NepjXgXVS._AC_UL320_.jpg,4.3,26.0,215.24,215.24,215.24,USD
"RESPAWN 110 Racing Style Gaming Chair, Reclining Ergonomic Chair with Footrest, in Red",https://m.media-amazon.com/images/I/71qYGd8XJ7L._AC_UL320_.jpg,4.3,33994.0,164.98,164.98,164.98,USD
"Ergonomic Office Chair, KERDOM Home Desk Chair, Comfy Breathable Mesh Task Chair, High Back Thick Cushion Computer Chair with Headrest and 3D Armrests, Adjustable Height Home Gaming Chair S-White",https://m.media-amazon.com/images/I/71SJzYqntVL._AC_UL320_.jpg,4.1,587.0,203.99,203.99,203.99,USD
PatioMage Gaming Chair Ergonomic Office Chair Headrest Lumbar Support Comfortable High Back Adjustable Reclining Computer Chair with Footrest Desk Chair PU Leather Swivel Chair,https://m.media-amazon.com/images/I/71v725lxBtL._AC_UL320_.jpg,4.1,487.0,179.99,179.99,179.99,USD
"YSSOA FNGAMECHAIR01 Gaming Office High Back Computer Ergonomic Adjustable Swivel Chair with Headrest and Lumbar Support, with footrest, Red",https://m.media-amazon.com/images/I/61O4ilN5v1S._AC_UL320_.jpg,4.0,535.0,160.4,160.4,160.4,USD
"Gaming Chair Racing Office Computer Ergonomic Video Game Chair Backrest and Seat Height Adjustable Swivel Recliner with Headrest and Lumbar Pillow Esports Chair, Black",https://m.media-amazon.com/images/I/61RexIW0vNS._AC_UL320_.jpg,3.9,1337.0,93.89,93.89,93.89,USD
Razer Iskur X Ergonomic Gaming Chair: Ergonomically Designed for Hardcore Gaming - Multi-Layered Synthetic Leather - High-Density Foam Cushions - 2D Armrests - Steel-Reinforced Body - Black/Green,https://m.media-amazon.com/images/I/61C5HuHeNEL._AC_UL320_.jpg,4.5,697.0,,,,USD
"Czlolo Gaming Chair With Footrest and Massage, PU Leather Racing Style Ergonomic Silla Gamer PC Computer Chair, Cheap Big and Tall Reclining Office Desk Chair for Adults/Teens/Heavy People, Teal+Black",https://m.media-amazon.com/images/I/616YqDAexjL._AC_UL320_.jpg,4.0,106.0,169.15,169.15,169.15,USD
Darkecho Gaming Chair Office Chair with Footrest Massage Racing Computer Ergonomic Chair Leather Reclining Desk Chair Adjustable Armrest High Back Gamer Chair with Headrest and Lumbar Support Black,https://m.media-amazon.com/images/I/61YFcg4fczL._AC_UL320_.jpg,4.1,1379.0,189.99,189.99,189.99,USD
"Dowinx Gaming Chair Breathable Fabric Office Chair with Pocket Spring Cushion and Massage Lumbar Support, High Back Ergonomic Computer Chair Adjustable Swivel Task Chair with Footrest Blue",https://m.media-amazon.com/images/I/71mgO2elyML._AC_UL320_.jpg,4.4,457.0,,,,USD
