product_name,product_image,product_rating,no_of_review,min_price,max_price,price,currency
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD 165Hz Display, AMD Ryzen 7 5800H, GeForce RTX 3050Ti, 32GB RAM, 1TB NVMe PCIe SSD, RGB Backlit Keyboard, Wireless-AX, DP, HDMI, Windows 11 Home",https://m.media-amazon.com/images/I/81PJkpKYppL._AC_UY218_.jpg,,,1149.99,1149.99,1149.99,USD
"2022 Lenovo Legion Gaming Laptop, 17.3"" FHD IPS Diaplay, AMD Ryzen 5 5600H 6-Core Processor (Beats i7-10850H), GeForce GTX 1650 Graphics, 32GB RAM, 1TB SSD, Backlit Keyboard, Wi-Fi 6, Windows 11",https://m.media-amazon.com/images/I/71jx6w2AscL._AC_UY218_.jpg,4.0,5.0,989.99,989.99,989.99,USD
"Lenovo - Legion 5 - Gaming Laptop - AMD Ryzen 7 5800H - 16GB RAM - 512GB Storage - NVIDIA GeForce RTX 3050Ti - 15.6"" FHD Display - Windows 11 Home - Phantom Blue",https://m.media-amazon.com/images/I/81PbOX7ZtaL._AC_UY218_.jpg,4.6,277.0,1099.99,1099.99,1099.99,USD
"Lenovo Legion 5 15.6"" 165Hz Gaming Laptop AMD Ryzen 7-5800H 16GB RAM 1TB SSD RTX 3050 Ti 4GB GDDR6",https://m.media-amazon.com/images/I/41TH11FsJDL._AC_UY218_.jpg,5.0,1.0,1169.99,1169.99,1169.99,USD
"Lenovo Legion 5 15.6"" 165Hz Gaming Laptop AMD Ryzen 7-5800H 16GB RAM 512GB SSD RTX 3060 6GB GDDR6 TGP 130W Phantom Blue",https://m.media-amazon.com/images/I/41AaW7sJ5bL._AC_UY218_.jpg,4.6,32.0,,,,USD
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD 165Hz Display, AMD Ryzen 7 5800H, GeForce RTX 3050Ti, 32GB RAM, 1TB NVMe PCIe SSD, RGB Backlit Keyboard, Wireless-AX, DP, HDMI, Windows 11 Home",https://m.media-amazon.com/images/I/81PJkpKYppL._AC_UY218_.jpg,,,1149.99,1149.99,1149.99,USD
"Lenovo Legion 5 Pro 16"" 165Hz QHD IPS NVIDIA G-Sync 500 nits Gaming Laptop AMD Ryzen 7-5800H 16GB RAM 1TB SSD RTX 3070 8GB GDDR6 TGP 130W",https://m.media-amazon.com/images/I/71n8ZFZKzPL._AC_UY218_.jpg,4.6,46.0,1525.0,1525.0,1525.0,USD
"Lenovo Legion 5 15.6"" 165Hz FHD Gaming Laptop, AMD 8-Core Ryzen 7-5800H，GeForce RTX 3070 8GB (TGP 130W), USB-C，Win11 Home，with HDMI Cable (32GB RAM | 1TB PCIe SSD)",https://m.media-amazon.com/images/I/61wUd0cON2L._AC_UY218_.jpg,,,1639.9,1639.9,1639.9,USD
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black",https://m.media-amazon.com/images/I/61ZWPLVZLHL._AC_UY218_.jpg,4.6,2143.0,1295.0,1295.0,1295.0,USD
"Lenovo - Legion 5 - Gaming Laptop - 15.6"" FHD - AMD Ryzen 5 5600H - 8GB DDR4 RAM - 512GB NVMe TLC SSD - NVIDIA GeForce RTX 3050 Ti Graphics - Windows 11 Home - Phantom Blue",https://m.media-amazon.com/images/I/71fUOX30BdL._AC_UY218_.jpg,5.0,1.0,1009.99,1009.99,1009.99,USD
"New Lenovo Legion 5 Charger,230W AC Adapter for Lenovo Legion 5 7 5P C7 S7 Y540 Y545 Y740 Y730 Y900 Y910 Y920 Y7000 4X20E75111 GX20L29347 ADL230NDC3A ADL230NLC3A Thinkpad P73 P53 P72 P52 P71 P51 P70",https://m.media-amazon.com/images/I/61v0lh7ePbL._AC_UY218_.jpg,5.0,4.0,68.98,68.98,68.98,USD
"Lenovo Legion 5 17.3"" 144Hz Gaming Laptop AMD Ryzen 7-5800H 16GB RAM 256GB SSD RTX 3060 6GB GDDR6 TGP 130W",https://m.media-amazon.com/images/I/31kggUS9k7L._AC_UY218_.jpg,4.4,12.0,1249.99,1249.99,1249.99,USD
"Lenovo Legion 5 Gaming Laptop, AMD Ryzen 5 5600H (Beats i7-10750H), 4.2GHz, 17.3"" FHD IPS 144Hz, GeForce RTX 3060(130W), Wi-Fi 6, Webcam, Backlit KB, USB-C, w/32GB SD (32GB RAM | 1TB PCIe SSD)",https://m.media-amazon.com/images/I/41Fh+lzx64L._AC_UY218_.jpg,5.0,1.0,1309.9,1309.9,1309.9,USD
"Lenovo Legion 5 17ITH6H 82JM0024US 17.3"" Gaming Notebook - Full HD - 1920 x 1080 - Intel Core i7 11th Gen i7-11800H Octa-core (8 Core) 2.30 GHz - 16 GB RAM - 512 GB SSD - Phantom Blue, Shadow Black",https://m.media-amazon.com/images/I/71dFu8chfhL._AC_UY218_.jpg,5.0,5.0,1369.0,1369.0,1369.0,USD
"Lenovo Legion 5 17.3"" FHD Gaming Laptop, AMD Ryzen 5 5600H(up to 4.2GHz), 16GB RAM 1TB NVMe SSD, GeForce GTX 1650, Windows 11",https://m.media-amazon.com/images/I/41fsa-4oYhL._AC_UY218_.jpg,4.6,30.0,969.99,969.99,969.99,USD
"Lenovo V15 G2 ALC 82KD004KUS 15.6"" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 5500U Hexa-core (6 Core) 2.10 GHz - 8 GB RAM - 256 GB SSD - Black - AMD SoC - Windows 10 Pro - AMD Radeon Graphic",https://m.media-amazon.com/images/I/41ahznK8rtL._AC_UY218_.jpg,,,629.99,629.99,629.99,USD
"Lenovo Legion 5 Gaming Laptop, 17.3"" FHD IPS 144Hz, AMD Ryzen 5 5600H (Beats i7-10750H), 4.2GHz, GeForce RTX 3060(130W), Wi-Fi 6, Webcam, Backlit KB, USB-C, w/Accessories (32GB RAM | 1TB PCIe SSD)",https://m.media-amazon.com/images/I/51JCZ51rVbL._AC_UY218_.jpg,5.0,1.0,1309.0,1309.0,1309.0,USD
"Lenovo Legion 5 Gaming Laptop, 17.3” FHD (1920 x 1080) Display, AMD Ryzen 5 5600H Processor, 32GB RAM, 1TB SSD, NVIDIA GeForce GTX 1650, Backlit Keyboard, Windows 11 Home",https://m.media-amazon.com/images/I/71QiVfkReyL._AC_UY218_.jpg,5.0,4.0,1079.0,1079.0,1079.0,USD
"2022 Newest Lenovo Legion 5 Gaming Laptop, 15.6"" FHD Display, Intel 8-Core i7-11800H(Beat AMD Ryzen 7 5800H), NVIDIA GeForce RTX 3050Ti, Windows 11H, Phantom Blue (16GB RAM | 1TB SSD)",https://m.media-amazon.com/images/I/51goZ+4jbfL._AC_UY218_.jpg,1.6,3.0,999.99,999.99,999.99,USD
"Lenovo Legion 5 15 Gaming Laptop, 15.6"" FHD 165Hz Display, AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050Ti,RGB Backlight, 32GB RAM, 1TB PCIe SSD, Windows 11H /ES 32GB USB",https://m.media-amazon.com/images/I/717f5biEgPL._AC_UY218_.jpg,4.2,26.0,1299.0,1299.0,1299.0,USD
ThinkPad T14 G1 Core i7/10510U/1.8GHz 16384/512 WNICb 14TFT W10P,https://m.media-amazon.com/images/I/41hnJ-n8ZTL._AC_UY218_.jpg,3.5,2.0,1249.0,1249.0,1249.0,USD
230W Legion Laptop AC Charger Fit for Lenovo Legion 5 7 5P C7 S7 Y540 Y545 Y740 Y730 Y900 Y910 Y920 Y7000 4X20E75111 GX20L29347 ADL230NDC3A ADL230NLC3A Laptop Adapter Power Supply Cord,https://m.media-amazon.com/images/I/61fK6wcz23L._AC_UY218_.jpg,,,70.77,70.77,70.77,USD
"2022 Lenovo Legion 5 Gaming 15.6"" FHD 165Hz Laptop Computer, AMD R7-5800H (Beats i7-10750H), 32GB RAM, 2TB PCIe SSD, Backlit Keyboard, GeForce RTX 3060 Graphics, HD Webcam, Win 11, 32GB USB Card",https://m.media-amazon.com/images/I/51ZH3hNBcpL._AC_UL320_.jpg,4.6,2143.0,1799.0,1799.0,1799.0,USD
"Lenovo IdeaPad 3 Business 15 Laptop Computer 15.6"" HD Touchscreen 10th Gen Intel Quad-Core i5-10210U (Beats i7-8550U) 20GB RAM 512GB SSD Dolby Webcam Win 10 Blue + HDMI Cable",https://m.media-amazon.com/images/I/71fLlCy-J8S._AC_UL320_.jpg,4.3,137.0,749.0,749.0,749.0,USD
"2022 Newest ASUS TUF Dash Premium Gaming Laptop: 15.6"" FHD 144Hz IPS Display, Intel Gaming H Core H 8-Core i7-11370H, 32GB RAM, 2TB SSD, 4GB GeForce RTX 3050Ti, Wifi6, Backlit-KYB, DTS, Win10H, TF",https://m.media-amazon.com/images/I/71R+xQOc-8L._AC_UL320_.jpg,4.6,243.0,1599.0,1599.0,1599.0,USD
"2021 ASUS ROG Strix G17 17.3"" FHD 144Hz Gaming Laptop Computer, AMD Ryzen 7-4800H 8-core, 8GB RAM, 512GB PCIe SSD, Backlit Keyboard, Nvidia GeForce RTX 3060, Dolby Audio, Win 10, Gray, 32GB USB Card",https://m.media-amazon.com/images/I/613a882X60L._AC_UL320_.jpg,4.3,156.0,1469.0,1469.0,1469.0,USD
"Lenovo IdeaPad 3 15 15.6"" Touchscreen Windows 10 Pro S Business Laptop, Intel Core i3-1115G4 (Beat i5-8365U), 12GB DDR4 RAM, 256GB PCIe SSD, 802.11AC WiFi, Bluetooth 5.0, Almond, 64GB Flash Stylus",https://m.media-amazon.com/images/I/81RyZ96jH4L._AC_UL320_.jpg,4.5,119.0,619.0,619.0,619.0,USD
"Dell Inspiron 7610 16 Inch Business and Student Laptop - 3K (3072x1920) Display, Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 4GB GDDR6, Windows 11 Pro - Mist Blue",https://m.media-amazon.com/images/I/61mE1Le8ceL._AC_UL640_QL65_.jpg,4.0,15.0,1699.0,1699.0,1699.0,USD
"Dell XPS 17 9710, 17 inch FHD+ Laptop - Intel Core i7-11800H,16GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3050 4GB GDDR6, Windows 11  Home + 1  Year Premium Support  - Platinum Silver",https://m.media-amazon.com/images/I/71c3q3CQItL._AC_UL640_QL65_.jpg,3.8,38.0,,,,USD
